,tweet_author,overall_polarity
1374140386071961602,Hematopoiesis News,Negative
1374032432173842437,"Michael Wang, MD",Negative
1373902876553048065,1stOncology,Positive
1373656782367813635,Toby Eyre,Negative
1372941634334232586,Lymphoma Hub,Positive
1372927482278539265,David Ledger,Positive
1372911723305394179,N Wales Cancer Forum,Negative
1372888121159868423,European Pharmaceutical Review,Negative
1372866915081797632,Graham Collins,Positive
1372825553837944834,CLL Ireland,Negative
1372788676191608837,Mice Ideas,Negative
1372662881230188555,Farooq A Wandroo,Negative
1372583112723533827,Leukaemia Care,Negative
1372558560543047693,Helen Oram,Positive
1372549029767299076,HealthWatch,Negative
1372529109805510658,PHARMABOX.IN,Positive
1372528985691746305,Pharma Trader,Positive
1372528101335265284,Everything Pharma,Positive
1372526440680333314,IJPSonline,Positive
1372519291635998731,Iceberg Vision,Positive
1372515771205742604,PharmaTimes,Positive
1372510731795492867,Paperbirds_Hematology,Negative
1372490442911141897,Pharma News,Positive
1372475756845137920,CLL Ireland,Negative
1372473228938084360,pharmaphorum,Negative
1372473109287215104,Toby Eyre,Positive
1372447809467777025,Lymphoma Papers,Negative
1372240588527968259,Paperbirds_Hematology,Negative
1371884004950089733,Lymphoma Hub,Negative
1371398643236925441,Trip Database,Negative
1370026180603117580,Osgood,Negative
1367801199638896640,Paperbirds_Hematology,Negative
1367440609896710145,Thiago Carvalho,Negative
1366770231289536522,Kartos Therapeutics,Negative
1365755830574977026,Apoli Naria,Negative
1365449441398915076,"Michael Wang, MD",Negative
1364491860954259459,Cardio-Targets,Negative
1364304315838582793,Lymphoma Papers,Negative
1364302784938475521,Paperbirds_Hematology,Negative
1364189928133976069,Cardio-Targets,Negative
1364169662267682820,Paperbirds_Hematology,Negative
1364019275279654912,Jeff Sharman,Negative
1363455819493310464,Paperbirds_Hematology,Negative
1362729902856941568,IM Médico,Negative
1362727073329131520,FirstWord Pharma,Positive
1361822683227389957,"CancerNetwork®, Home of the Journal ONCOLOGY®",Negative
1360604941971316737,"Tom Henry, MBA, RPh, CPh",Negative
1360504470883475456,Medivizor,Negative
1360378272148815874,mednetnews,Negative
1360319765252886533,AJMC,Negative
1359883921979244551,Patient Worthy,Negative
1359503020694798338,Paperbirds_Hematology,Negative
1358937124423290884,Cat,Negative
1358840804928876545,Hemalatha Rangarajan MD,Negative
1358182533498871808,mednetnews,Negative
1358089001689702401,Bita Fakhri,Negative
1357362376916545538,NCPE,Negative
1357356433310965761,JOURNAL ONKOLOGIE,Negative
1357056544454676489,Oncology Learning Network,Negative
1356950776388739073,Oncology Learning Network,Negative
1356497620923998214,OncLive.com,Negative
1355979506071330819,Medivizor,Negative
1355636954474426374,TrialSite News,Negative
1355553403645136897,Trip Database,Negative
1355155741980708864,Lyfebulb,Negative
1355017852793856003,OncLive.com,Negative
1354878082621071361,The Medical Ed Cons.,Negative
1354841708723392519,"CancerNetwork®, Home of the Journal ONCOLOGY®",Negative
1354542241210101763,CarnivoresHealth,Negative
1354537187526717445,Portfolio Penny,Negative
1354537173362597892,FancyFinancy,Negative
1354534707250290689,Robo Schmobo,Negative
1354532137559617536,Financial Carnivores,Negative
1354474488709181441,Lymphoma Hub,Negative
1354423095872917504,NetCancer,Negative
1354238697466687495,DMGAZ,Negative
1354236123413934084,Amit Patel🇬🇧,Negative
1354231408223514624,Blood Advances,Negative
1354155126689308673,The Medical Ed Cons.,Negative
1354135353028997121,Silas Inman,Negative
