,Entity,Frequency,overall_polarity
0,acalabrutinib,1306,Positive
1,calquenc,893,Positive
2,patient,790,Positive
3,covid,694,Positive
4,astrazeneca,598,Positive
5,cll,562,Positive
6,trial,425,Positive
7,lymphocyt,388,Positive
8,chronic,351,Positive
9,leukemia,342,Positive
10,drug,340,Positive
11,treatment,339,Positive
12,de,282,Positive
13,approv,266,Positive
14,cancer,264,Positive
15,btk,263,Positive
16,lymphoma,247,Positive
17,studi,244,Positive
18,inhibitor,196,Positive
19,la,194,Positive
20,show,192,Positive
21,phase,191,Positive
22,new,191,Positive
23,clinic,183,Positive
24,ash,166,Positive
25,data,159,Positive
26,treat,149,Positive
27,azn,145,Positive
28,fda,145,Positive
29,sever,143,Positive
30,en,139,Positive
31,coronaviru,134,Positive
32,obinutuzumab,132,Positive
33,cell,130,Negative
34,leusm,125,Negative
35,improv,123,Negative
36,el,122,Negative
37,ibrutinib,120,Negative
38,leukaemia,110,Negative
39,via,110,Negative
40,lymsm,103,Negative
41,use,103,Negative
42,result,101,Negative
43,mantl,98,Negative
44,con,92,Negative
45,adult,92,Negative
46,dr,91,Negative
47,blood,91,Negative
48,efficaci,90,Negative
49,hematolog,89,Negative
50,pharma,88,Negative
51,relaps,84,Negative
52,test,84,Negative
53,amp,83,Negative
54,mcl,80,Negative
55,news,79,Negative
56,promis,77,Negative
57,earli,77,Negative
58,leucemia,76,Negative
59,effect,74,Negative
60,small,74,Negative
61,que,73,Negative
62,therapi,71,Negative
63,may,71,Negative
64,plu,70,Negative
65,respons,70,Negative
66,help,69,Negative
67,safeti,68,Negative
68,v,68,Negative
69,imbruvica,66,Negative
70,refractori,65,Negative
71,bruton,65,Negative
72,sll,63,Negative
73,cytokin,63,Negative
74,un,63,Negative
75,pacient,63,Negative
76,toler,62,Negative
77,potenti,62,Negative
78,option,62,Negative
79,relapsedrefractori,62,Negative
80,discus,61,Negative
81,kina,60,Negative
82,pf,60,Negative
83,respiratori,57,Negative
84,tyrosin,56,Negative
85,combin,55,Negative
86,iii,55,Negative
87,ii,55,Negative
88,compar,55,Negative
89,longterm,54,Negative
90,calavi,53,Negative
91,benefit,53,Negative
92,u,52,Negative
93,para,52,Negative
94,storm,52,Negative
95,launch,51,Negative
96,rr,51,Negative
97,present,51,Negative
98,reduc,51,Negative
99,hospit,50,Negative
100,rituximab,49,Negative
101,initi,49,Negative
102,lo,48,Negative
103,oncolog,47,Negative
104,ascend,46,Negative
105,diseas,46,Negative
106,articl,45,Negative
107,di,45,Negative
108,pt,44,Negative
109,start,44,Negative
110,surviv,43,Negative
111,clinicaltri,43,Negative
112,monotherapi,43,Negative
113,frontlin,42,Negative
114,medicamento,42,Negative
115,ad,41,Negative
116,report,41,Negative
117,previous,41,Negative
118,receiv,41,Negative
119,versu,40,Negative
120,venetoclax,40,Negative
121,primari,40,Negative
122,updat,40,Negative
123,pharmaceut,39,Negative
124,untreat,39,Negative
125,profil,39,Negative
126,le,39,Negative
127,outcom,38,Negative
128,time,38,Negative
129,random,38,Negative
130,w,38,Negative
131,immun,38,Negative
132,say,36,Negative
133,find,36,Negative
134,day,36,Negative
135,research,36,Negative
136,india,35,Negative
137,md,35,Negative
138,oxygen,35,Negative
139,elev,35,Negative
140,learn,34,Negative
141,inflamm,34,Negative
142,target,34,Negative
143,az,34,Negative
144,evalu,34,Negative
145,health,34,Negative
146,market,34,Negative
147,associ,34,Negative
148,year,33,Negative
149,activ,33,Negative
150,support,33,Negative
151,chlorambucil,32,Negative
152,without,32,Negative
153,contra,32,Negative
154,endpoint,32,Negative
155,fail,32,Negative
156,cronica,32,Negative
157,tn,32,Negative
158,cllsm,31,Negative
159,work,31,Negative
160,alon,31,Negative
161,could,31,Negative
162,infect,31,Negative
163,group,30,Negative
164,see,30,Negative
165,like,30,Negative
166,oral,30,Negative
167,demonstr,30,Negative
168,medivizor,30,Negative
169,suggest,30,Negative
170,analysi,30,Negative
171,asco,29,Negative
172,e,29,Negative
173,pembrolizumab,29,Negative
174,se,29,Negative
175,month,29,Negative
176,del,29,Negative
177,linfoctica,29,Negative
178,linfatica,29,Negative
179,recommend,28,Negative
180,read,28,Negative
181,frmaco,28,Negative
182,posit,28,Negative
183,one,28,Negative
184,eu,28,Negative
185,progressionfre,28,Negative
186,bcell,28,Negative
187,approach,27,Negative
188,solidar,27,Negative
189,crnica,27,Negative
190,jeffsharman,27,Negative
191,tratamiento,27,Negative
192,symptom,27,Negative
193,set,27,Negative
194,well,26,Negative
195,said,26,Negative
196,distress,26,Negative
197,select,26,Negative
198,includ,26,Negative
199,cncer,25,Negative
200,review,25,Negative
201,por,25,Negative
202,announc,25,Negative
203,p,25,Negative
204,agent,25,Negative
205,da,25,Negative
206,progress,25,Negative
207,care,25,Negative
208,treatmentnav,25,Negative
209,hospitalis,24,Negative
210,live,24,Negative
211,elevatetn,24,Negative
212,grave,24,Negative
213,headtohead,24,Negative
214,l,24,Negative
215,medic,24,Negative
216,get,23,Negative
217,publish,23,Negative
218,met,23,Negative
219,inhibit,23,Negative
220,accord,23,Negative
221,need,23,Negative
222,today,23,Negative
223,global,23,Negative
224,meet,23,Negative
225,nice,23,Negative
226,watch,23,Negative
227,rate,23,Negative
228,best,23,Negative
229,across,23,Negative
230,impact,23,Negative
231,forb,22,Negative
232,b,22,Negative
233,first,22,Negative
234,three,22,Negative
235,al,22,Negative
236,advanc,22,Negative
237,interest,22,Negative
238,healthcar,22,Negative
239,treatmentna,22,Negative
240,capsul,21,Negative
241,followup,21,Negative
242,led,21,Negative
243,take,21,Negative
244,case,21,Negative
245,ventil,21,Negative
246,found,21,Negative
247,regimen,21,Negative
248,una,21,Negative
249,risk,21,Negative
250,significantli,20,Negative
251,exclus,20,Negative
252,scienc,20,Negative
253,control,20,Negative
254,death,20,Negative
255,myunisr,20,Negative
